1/26/2011 9:36:43 PM
online name,id,zcQTY,storeQTY,store name,id,ShouldUpdate
"Incence holder -cherry blossom",773,2,2,"Incence holder -cherry blossom",773,No
"Owl Incense Burner",775,1,2,"Incense burner - Owl",775,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 775
"Polished Ebony Powder Holder",776,2,2,"Ebony body powder holder",776,No
"Horin Incense Assortment",777,9,9,"Incense - Horin Asst",777,No
"Nijo Incense",778,5,3,"Incense - Nijo",778,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 778
"Hori-kawa incense",779,3,3,"Incense - Hori kawa",779,No
"Gen-roku incense",780,1,3,"Incense - Gen-roku",780,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 780
"Muro-machi incense",781,1,2,"Incense - Muro-machi",781,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 781
"Ten-pyo incense",782,2,2,"Incense - Ten-pyo",782,No
"ibride Bernardo Tray",786,3,3,"Tray - Bernardo",786,No
"ibride Ambroise Tray",798,3,3,"Tray - Ambroise",798,No
"FluffyCo Poppy Wallet",1139,3,7,"Wallet - mini - poppies",1139,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 1139
"Perception - Small Journal",865,0,0,"Journal, Small- Perception",865,No
"little bird - We Love You",867,18,-2,"Card - we love you",867,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 867
"Mini Pencil Set",319,6,11,"Pencil Set",319,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 319
"The Garden at Night",327,3,4,"Book, Garden at Night",327,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 327
"Hope - 5x7 Card",379,0,1,"Card - Hope",379,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 379
"Sunshine Birthday - 5x7 Card",380,3,2,"Card - Sunshine Birthday",380,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 380
"Amy Ruppel Owl Big Click",646,11,0,"Big Click - amy ruppel owl",646,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 646
"Lisa Congdon Birch Trees Big Click",647,1,1,"Big Click - blue birch",647,No
"Fumi Watanabi Flowers Magnet Set",649,1,0,"Click 4 pk - fumi flowers",649,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 649
