1/26/2011 9:36:43 PM
store name , store id
"bag-orchid-medium",222
"bag-deer-medium",223
"bag-pink flower-medium",227
"bag-aqua rose-medium",228
"bag-aqua rose-small",229
"bag-pink flower-small",230
"Necklace-tulip-red/white",231
"Necklace-Etched blossom,silver",232
"Purse- tutela small botanical",233
"Hourglass - medium",234
"Tea - Cinnamon Wood Box",552
"Tea - Pu-er Imperial - muslin",553
"Tea - Fleur de Geisha - muslin",554
"Tea - The du Hammam - muslin",555
"Tea - Pu-er Imperial - Tin",556
"Tea - The du Hammam - Tin,lmtd",558
"Tea cups, (2) porcelain, japan",560
"Tea - Washi paper tin - Geisha",562
"Chocolate Bar -green tea japan",563
"Chocolate Bar -jasmine morocco",564
"Chocolate - Box - Lavender",565
"Tea - Chai Box Set",566
"Hobo - Alameda - Black",1918
"Earring - med brass on sterlin",1919
"Earring - lg brass on sterling",1920
"Earring - large brass on gf",1921
"Letterpress Tray",1922
"Tray - Vintage",1923
"Sachet - johin - taga sode",1924
"Wick Dipper",1926
"Earring - Flower Posts",1928
"Trish Grantham - Notecard Set",1929
"Journal - Letterpress - Ferns",668
"Journal - Green Ferns - LP",669
"Journal - orange cosmos - LP",670
"Card - enclosure - butterfly",671
"Card - enclosure - sunflower",672
"Card - Orchids Happy Birthday",673
"Treetop studio print",674
"Midsummer Light - Fading Red",675
"Tea Mug - Yellow",676
"Tea Pot - Patio - white",677
"Tea Cup - tall - white",678
"Tea Cup - tall - bbm",679
"Fresh Flowers",680
"Tea Cup - sencha",754
"Sugarbowl w/spoon - blueberry",755
"Sugarbowl w/spoon - white",756
"Beaker narrow 125mls",757
"Beaker narrow 50mls",758
"Beaker wide 20mls",759
"Beaker wide 50mls",760
"Beaker wide 150mls",761
"purse hand painted w/strap",762
"Card Case - Circle, etched",684
"Card Case - bacterio, etched",685
"Ayate Cloth - soap pouch",689
"Ayate Cloth - scrubber",690
"Click 4 pk - salty",692
"Click 4 pk - Trish G girls",693
